Iteration,Score,Trial,Learner,Net
8,-9865.205605492141,1,GREEDY,ds4
9,-9859.195164678085,1,GREEDY,ds4
0,-9787.3916136939,1,CASGMM,ds4
1,-9727.398400222864,1,CASGMM,ds4
2,-9668.703673082066,1,CASGMM,ds4
3,-9630.045682238851,1,CASGMM,ds4
4,-9568.528475265746,1,CASGMM,ds4
5,-9556.996642811027,1,CASGMM,ds4
6,-9442.672208057123,1,CASGMM,ds4
7,-9122.051652293616,1,CASGMM,ds4
8,-8945.719412842585,1,CASGMM,ds4
9,-8868.900214839352,1,CASGMM,ds4
0,-9970.454002171935,1,CASMOD,ds4
1,-9801.6225768865,1,CASMOD,ds4
2,-9793.045319635503,1,CASMOD,ds4
3,-9748.419875061427,1,CASMOD,ds4
4,-9736.873954005849,1,CASMOD,ds4
5,-9653.050867795375,1,CASMOD,ds4
6,-9579.073116248812,1,CASMOD,ds4
7,-9576.795566167131,1,CASMOD,ds4
8,-9535.609261783193,1,CASMOD,ds4
9,-9531.652658531091,1,CASMOD,ds4
0,-9748.31818581741,1,CASJNK,ds4
1,-9522.067040593127,1,CASJNK,ds4
2,-9285.01491801345,1,CASJNK,ds4
3,-9223.938756526848,1,CASJNK,ds4
4,-9216.278248594566,1,CASJNK,ds4
5,-9200.128953494162,1,CASJNK,ds4
6,-9063.974040528634,1,CASJNK,ds4
7,-8818.559098673837,1,CASJNK,ds4
8,-8671.526962662358,1,CASJNK,ds4
9,-8629.466117397413,1,CASJNK,ds4
0,-9873.935824428776,2,GREEDY,ds4
1,-9661.307300497934,2,GREEDY,ds4
2,-9657.817556929187,2,GREEDY,ds4
3,-9648.535876274433,2,GREEDY,ds4
4,-9610.84084811687,2,GREEDY,ds4
5,-9600.600059328592,2,GREEDY,ds4
6,-9592.287062277499,2,GREEDY,ds4
7,-9581.537658499758,2,GREEDY,ds4
8,-9580.33282613166,2,GREEDY,ds4
9,-9566.477460223216,2,GREEDY,ds4
0,-9833.619247310995,2,CASGMM,ds4
1,-9558.39219474348,2,CASGMM,ds4
2,-9511.805442500074,2,CASGMM,ds4
3,-9473.358933166284,2,CASGMM,ds4
4,-9083.127151718298,2,CASGMM,ds4
5,-8908.594407745193,2,CASGMM,ds4
6,-8746.165367857622,2,CASGMM,ds4
7,-8740.919535241768,2,CASGMM,ds4
8,-8713.609109642617,2,CASGMM,ds4
9,-8694.50258204544,2,CASGMM,ds4
0,-9899.830813204158,2,CASMOD,ds4
1,-9648.984163582663,2,CASMOD,ds4
2,-9442.058422995115,2,CASMOD,ds4
3,-9116.149142567094,2,CASMOD,ds4
4,-9096.119672111281,2,CASMOD,ds4
5,-8985.635410555351,2,CASMOD,ds4
6,-8846.919970707495,2,CASMOD,ds4
7,-8771.407049142425,2,CASMOD,ds4
8,-8717.579422179424,2,CASMOD,ds4
9,-8554.356900353348,2,CASMOD,ds4
0,-9829.752980906287,2,CASJNK,ds4
1,-9736.635309242905,2,CASJNK,ds4
2,-9661.499259107477,2,CASJNK,ds4
3,-9564.652445769681,2,CASJNK,ds4
4,-9470.694782249673,2,CASJNK,ds4
5,-9341.652557341597,2,CASJNK,ds4
6,-9339.709127228783,2,CASJNK,ds4
7,-9220.164576767444,2,CASJNK,ds4
8,-8959.840617126689,2,CASJNK,ds4
9,-8932.197098046503,2,CASJNK,ds4
0,-9971.29225902777,3,GREEDY,ds4
1,-9969.88098374643,3,GREEDY,ds4
2,-9967.791289360264,3,GREEDY,ds4
3,-9966.514708966319,3,GREEDY,ds4
4,-9926.475493108557,3,GREEDY,ds4
5,-9913.11433201181,3,GREEDY,ds4
6,-9908.281075777555,3,GREEDY,ds4
7,-9907.360317181638,3,GREEDY,ds4
8,-9703.811196534043,3,GREEDY,ds4
9,-9698.21498852863,3,GREEDY,ds4
0,-9808.323240329788,3,CASGMM,ds4
1,-9623.241064984313,3,CASGMM,ds4
2,-9227.989890048431,3,CASGMM,ds4
3,-9209.113243080177,3,CASGMM,ds4
4,-9199.77367894658,3,CASGMM,ds4
5,-9027.919842515628,3,CASGMM,ds4
6,-8923.753819922207,3,CASGMM,ds4
7,-8693.316178144236,3,CASGMM,ds4
8,-8685.333235908392,3,CASGMM,ds4
9,-8604.564635886301,3,CASGMM,ds4
0,-9961.234126874806,3,CASMOD,ds4
1,-9638.884885711632,3,CASMOD,ds4
2,-9598.819701724988,3,CASMOD,ds4
3,-9570.613925181186,3,CASMOD,ds4
4,-9456.388999262552,3,CASMOD,ds4
5,-9238.162547796532,3,CASMOD,ds4
6,-9188.465816881522,3,CASMOD,ds4
7,-9188.031496638303,3,CASMOD,ds4
8,-9167.466862533953,3,CASMOD,ds4
9,-9162.784920967606,3,CASMOD,ds4
0,-9853.911255339928,3,CASJNK,ds4
1,-9636.281490256328,3,CASJNK,ds4
2,-9527.585497734925,3,CASJNK,ds4
3,-9468.19860457045,3,CASJNK,ds4
4,-9394.150010468693,3,CASJNK,ds4
5,-9389.376311005719,3,CASJNK,ds4
6,-9217.192638757688,3,CASJNK,ds4
7,-8994.637921459922,3,CASJNK,ds4
8,-8928.753450897613,3,CASJNK,ds4
9,-8882.011926618277,3,CASJNK,ds4
0,-9841.056605413676,4,GREEDY,ds4
1,-9659.537798210602,4,GREEDY,ds4
2,-9659.527339513363,4,GREEDY,ds4
3,-9657.598438786292,4,GREEDY,ds4
4,-9643.151986966535,4,GREEDY,ds4
5,-9638.663024609348,4,GREEDY,ds4
6,-9603.148990859969,4,GREEDY,ds4
7,-9588.429813433904,4,GREEDY,ds4
8,-9587.022083773798,4,GREEDY,ds4
9,-9573.656679710206,4,GREEDY,ds4
0,-9891.440893481435,4,CASGMM,ds4
1,-9704.057642434396,4,CASGMM,ds4
2,-9293.058855013503,4,CASGMM,ds4
3,-9094.366377487546,4,CASGMM,ds4
4,-9078.07097517101,4,CASGMM,ds4
5,-8797.40647097967,4,CASGMM,ds4
6,-8751.933191100841,4,CASGMM,ds4
7,-8682.406128298007,4,CASGMM,ds4
8,-8665.71070775322,4,CASGMM,ds4
9,-8660.597883442484,4,CASGMM,ds4
0,-9966.351607758555,4,CASMOD,ds4
1,-9805.601531705248,4,CASMOD,ds4
2,-9710.918110448223,4,CASMOD,ds4
3,-9649.616736879248,4,CASMOD,ds4
4,-9632.374663845498,4,CASMOD,ds4
5,-9624.706745945465,4,CASMOD,ds4
6,-9564.300802629437,4,CASMOD,ds4
7,-9561.976290227176,4,CASMOD,ds4
8,-9549.477678344441,4,CASMOD,ds4
9,-9522.79860350053,4,CASMOD,ds4
0,-9967.691663635582,4,CASJNK,ds4
1,-9872.638365252988,4,CASJNK,ds4
2,-9771.255594985883,4,CASJNK,ds4
3,-9681.409275616035,4,CASJNK,ds4
4,-9659.840360523807,4,CASJNK,ds4
5,-9426.263493926082,4,CASJNK,ds4
6,-9158.281060798397,4,CASJNK,ds4
7,-9038.736510337058,4,CASJNK,ds4
8,-8767.522389696725,4,CASJNK,ds4
9,-8605.855109912904,4,CASJNK,ds4
0,-9885.639657554642,5,GREEDY,ds4
1,-9876.120428331466,5,GREEDY,ds4
2,-9860.064087845078,5,GREEDY,ds4
3,-9840.510506866041,5,GREEDY,ds4
4,-9838.452788377266,5,GREEDY,ds4
6,-9836.449167280669,5,GREEDY,ds4
7,-9825.420705398821,5,GREEDY,ds4
8,-9816.116881388843,5,GREEDY,ds4
9,-9815.622052685478,5,GREEDY,ds4
0,-9773.096665045945,5,CASGMM,ds4
1,-9521.686838934187,5,CASGMM,ds4
2,-9515.77109781319,5,CASGMM,ds4
3,-9327.50459716314,5,CASGMM,ds4
4,-9293.840201085488,5,CASGMM,ds4
5,-9015.817458992555,5,CASGMM,ds4
6,-8775.60112956741,5,CASGMM,ds4
7,-8558.319155013422,5,CASGMM,ds4
8,-8503.2692158315,5,CASGMM,ds4
9,-8319.419756978728,5,CASGMM,ds4
0,-9709.824769042241,5,CASMOD,ds4
1,-9704.714215766306,5,CASMOD,ds4
2,-9609.07072655232,5,CASMOD,ds4
3,-9596.244950991368,5,CASMOD,ds4
4,-9593.466599440992,5,CASMOD,ds4
5,-9484.267023306502,5,CASMOD,ds4
6,-9411.323544016763,5,CASMOD,ds4
7,-9407.804167943717,5,CASMOD,ds4
8,-9292.788839493622,5,CASMOD,ds4
9,-9263.104913422556,5,CASMOD,ds4
0,-9783.992285733868,5,CASJNK,ds4
1,-9752.921402010561,5,CASJNK,ds4
2,-9692.85025250146,5,CASJNK,ds4
3,-9483.943904244563,5,CASJNK,ds4
4,-9165.4677756132,5,CASJNK,ds4
5,-8954.99122327624,5,CASJNK,ds4
6,-8901.651299395755,5,CASJNK,ds4
7,-8900.049231165907,5,CASJNK,ds4
8,-8893.121500291849,5,CASJNK,ds4
9,-8888.334980947377,5,CASJNK,ds4
